name,new_price,old_price,discount,status,photo_link,link,positive_feedback
Ноутбук Dell Precision M4600-Intel Core i7-2720QM-2.2GHz-4Gb-DDR3-128Gb-HDD-W15.6-FHD-DVD-R-Web+-NVIDIA Quadro 1000M-(C)- Б/В,9519.0,10020.0,5.0,Закінчується,https://images.prom.ua/3304849880_w200_h200_noutbuk-dell-precision.jpg,https://prom.ua/p1470400186-noutbuk-dell-precision.html,88
Ноутбук Dell Precision M4600-Intel Core i7-2960XM-2.7GHz-8Gb-DDR3-320Gb-HDD-W15.6-DVD-R-Web+-NVIDIA Quadro 1000M-(C)- Б/В,9519.0,10020.0,5.0,Закінчується,https://images.prom.ua/3304849881_w200_h200_noutbuk-dell-precision.jpg,https://prom.ua/p1470400187-noutbuk-dell-precision.html,88
"Ноутбук Dell Precision M6600-Intel Core i7-2720QM-2.20GHz-8Gb-DDR3-500Gb-HDD-W17,3-FHD-DVD-R+NVIDIA QUADRO 3000M(2Gb)-(B)- Б/В",13832.0,14560.0,5.0,Закінчується,https://images.prom.ua/3304849884_w200_h200_noutbuk-dell-precision.jpg,https://prom.ua/p1470400189-noutbuk-dell-precision.html,88
"Ноутбук Dell Precision 5520-Intel Core i5-7300HQ-2.50GHz-16Gb-DDR4-512Gb-SSD-W15,6-FHD-IPS-WebNVIDIA Quadro M1200-(B)- Б/В",24472.0,25760.0,5.0,Закінчується,https://images.prom.ua/3373497964_w200_h200_noutbuk-dell-precision.jpg,https://prom.ua/p1491193225-noutbuk-dell-precision.html,88
"Ноутбук Dell Latitude E5580-Intel Core-i5-7440HQ-2,80GHz-8Gb-DDR4-256Gb-SSD-W15.6-FHD IPS-Web-nVidia 940MX-(B)- Б/В",19152.0,20160.0,5.0,Закінчується,https://images.prom.ua/3374015006_w200_h200_noutbuk-dell-latitude.jpg,https://prom.ua/p1491353456-noutbuk-dell-latitude.html,88
Ноутбук HP Compaq 8510p-Intel C2D-T9300-2.5GHz-2Gb-DDR2-250Gb-HDD-W15.4-DVD-RW-ATI MOBILE Radeon HD 2600 (256Mb) (С) -Б/В,2556.0,2690.0,5.0,Закінчується,https://images.prom.ua/3388423040_w200_h200_noutbuk-hp-compaq.jpg,https://prom.ua/p1495572474-noutbuk-compaq-8510p.html,88
Ноутбук HP ProBook 6560b-Intel Core i5-2520M-2.5GHz-4Gb-DDR3-320Gb-HDD-Web-W15.6-HD+-AMD Radeon HD 6470M-(B-)- Б/В,5852.0,6160.0,5.0,Закінчується,https://images.prom.ua/3633304857_w200_h200_noutbuk-hp-probook.jpg,https://prom.ua/p1554357315-noutbuk-probook-6560b.html,88
"Ноутбук Dell Precision 5520-Intel Core i7-7700HQ-2.780GHz-16Gb-DDR4-256Gb-SSD-W15,6-FHD-IPS-Web-NVIDIA Quadro M1200-(B)-Б/В",24358.0,25640.0,5.0,Закінчується,https://images.prom.ua/3594793281_w200_h200_noutbuk-dell-precision.jpg,https://prom.ua/p1559713153-noutbuk-dell-precision.html,88
"Ноутбук HP ProBook 4520s-Intel-Core-i3-370M-2,40GHz-2Gb-DDR3-320Gb-HDD-DVD-R-W15.6-Web-ATI Mobility Radeon HD 5470-(B)- Б/В",4598.0,4840.0,5.0,Закінчується,https://images.prom.ua/3616263223_w200_h200_noutbuk-hp-probook.jpg,https://prom.ua/p1566507252-noutbuk-probook-4520s.html,88
Ноутбук HP Pavilion 15-e073so-AMD-A6-5350M-2.9GHz-4Gb-DDR3-320Gb-HDD-W15.6-Web-AMD Radeon HD 8600M-(B)- Б/В,6926.0,7290.0,5.0,Закінчується,https://images.prom.ua/3626568744_w200_h200_noutbuk-hp-pavilion.jpg,https://prom.ua/p1569646948-noutbuk-pavilion-e073so.html,88
